Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
87,Thatcher Demko,22,VAN,G,1,1,1,0,0,4,30,26,.867,3.91,0,61:21,0,.000,0,152,-1.4,3.91,0.0,0,0,0,0,,demkoth01
88,Dylan Ferguson,19,VEG,G,1,0,0,0,0,1,2,1,.500,6.50,0,9:14,0,,0,570,-0.8,6.50,-0.1,0,0,0,0,,fergudy01
89,Scott Foster,36,CHI,G,1,0,0,0,0,0,7,7,1.000,.00,0,14:01,0,,0,0,0.6,.00,0.1,0,0,0,0,,fostesc01
90,Brandon Halverson,21,NYR,G,1,0,0,0,0,1,6,5,.833,4.78,0,12:33,0,,0,190,-0.5,4.78,0.0,0,0,0,0,,halvebr01
91,Andrew Hammond,29,COL,G,1,1,0,1,0,2,33,31,.939,2.06,0,58:22,1,1.000,0,69,0.9,2.06,0.3,0,0,0,0,,hammoan01
92,Marek Langhamer,23,ARI,G,1,0,0,0,0,0,10,10,1.000,.00,0,28:53,0,,0,0,0.9,.00,0.2,0,0,0,0,,langhma01
93,Calvin Pickard,25,TOR,G,1,1,0,0,1,4,28,24,.857,3.83,0,62:35,0,.000,0,163,-1.5,3.83,0.0,0,0,0,0,,pickaca01
94,Daniel Taylor,31,OTT,G,1,1,0,1,0,4,34,30,.882,4.10,0,58:29,0,.000,0,134,-1.0,4.10,0.1,0,0,0,0,,tayloda02
95,Adam Wilcox,25,BUF,G,1,0,0,1,0,0,14,14,1.000,.00,0,38:39,0,,0,0,1.2,.00,0.2,0,0,0,0,,wilcoad01
,League Average,,,,,,,,,,,,.912,2.78,,,,.531,,,,3.00,,,,,,,-9999
